"time","symbol","AD"
2021-08-13,"jd",-9894280.2778
2021-08-12,"jd",-10067251.847
2021-08-11,"jd",-12641984.6212
2021-08-10,"jd",-8533053.6557
2021-08-09,"jd",-4603595.4019
2021-08-06,"jd",-10111529.9202
2021-08-05,"jd",-5746241.5014
2021-08-04,"jd",-8744204.4121
2021-08-03,"jd",-6270804.5743
2021-08-02,"jd",-8150814.144
2021-07-30,"jd",-6056815.47
2021-07-29,"jd",-5197115.4824
2021-07-28,"jd",-18782353.5478
2021-07-27,"jd",-33666388.4747
2021-07-26,"jd",-60937220.1639
2021-07-23,"jd",-34533714.7034
2021-07-22,"jd",-42242148.3497
2021-07-21,"jd",-41480789.4857
2021-07-20,"jd",-46668646.2857
2021-07-19,"jd",-49815901.1434
2021-07-16,"jd",-57713335.3101
2021-07-15,"jd",-53351794.615
2021-07-14,"jd",-50915356.5232
2021-07-13,"jd",-49775478.2057
2021-07-12,"jd",-55836192.6033
2021-07-09,"jd",-56301736.4664
2021-07-08,"jd",-65652827.4711
2021-07-07,"jd",-71782484.7282
2021-07-06,"jd",-71174373.7399
2021-07-02,"jd",-57768795.7959
2021-07-01,"jd",-55613849.2906
2021-06-30,"jd",-46646416.6772
2021-06-29,"jd",-52368751.8377
2021-06-28,"jd",-63975778.1042
2021-06-25,"jd",-59854227.7474
2021-06-24,"jd",-74895925.0063
2021-06-23,"jd",-82697922.482
2021-06-22,"jd",-78220731.8497
2021-06-21,"jd",-77994952.4004
2021-06-18,"jd",-83733397.076
2021-06-17,"jd",-61600176.276
2021-06-16,"jd",-69187619.1424
2021-06-15,"jd",-66655884.2735
2021-06-14,"jd",-62200804.2735
2021-06-11,"jd",-66629141.764
2021-06-10,"jd",-63311647.1813
2021-06-09,"jd",-57453936.793
2021-06-08,"jd",-51609519.718
2021-06-07,"jd",-47582086.5513
2021-06-04,"jd",-49256548.5625
2021-06-03,"jd",-45547220.6019
2021-06-02,"jd",-50389533.7318
2021-06-01,"jd",-43049725.3658
2021-05-28,"jd",-56748156.0791
2021-05-27,"jd",-63226408.1738
2021-05-26,"jd",-63292144.7698
2021-05-25,"jd",-63974769.1147
2021-05-24,"jd",-62291374.3684
2021-05-21,"jd",-54885128.9667
2021-05-20,"jd",-46595788.0778
2021-05-19,"jd",-48764950.0836
2021-05-18,"jd",-61364481.0431
2021-05-17,"jd",-58758819.25
2021-05-14,"jd",-60693206.7794
2021-05-13,"jd",-68271482.2577
2021-05-12,"jd",-34324305.5785
2021-05-11,"jd",-28924568.9951
2021-05-10,"jd",-37923060.8259
2021-05-07,"jd",-21433417.369
2021-05-06,"jd",-13852558.7801
2021-05-05,"jd",-16796240.9444
2021-05-04,"jd",-13821193.3926
2021-05-03,"jd",-9709985.4703
2021-04-30,"jd",-5426934.9478
2021-04-29,"jd",-5920375.5223
2021-04-28,"jd",-860363.3714
2021-04-27,"jd",-4184852.1406
2021-04-26,"jd",-11496950.5471
2021-04-23,"jd",-17389621.3619
2021-04-22,"jd",-8893482.5489
2021-04-21,"jd",-9091586.0281
2021-04-20,"jd",-19631326.3569
2021-04-19,"jd",-7094535.3445
2021-04-16,"jd",-7773752.9159
2021-04-15,"jd",-2513824.8091
2021-04-14,"jd",2801422.2972
2021-04-13,"jd",9655247.4837
2021-04-12,"jd",3627790.7392
2021-04-09,"jd",2611763.1654
2021-04-08,"jd",3979795.4565
2021-04-07,"jd",7847132.6658
2021-04-06,"jd",11753024.2448
2021-04-05,"jd",9825667.1305
2021-04-01,"jd",15464076.107
2021-03-31,"jd",24518251.0727
2021-03-30,"jd",23476234.6341
2021-03-29,"jd",20811044.3427
2021-03-26,"jd",17535983.4203
2021-03-25,"jd",10259085.3664
2021-03-24,"jd",6718290.7296
2021-03-23,"jd",21196253.4399
2021-03-22,"jd",24899974.3355
2021-03-19,"jd",23649954.8469
2021-03-18,"jd",13730535.6069
2021-03-17,"jd",15218249.1557
2021-03-16,"jd",9807444.8796
2021-03-15,"jd",8744614.9273
2021-03-12,"jd",-3023083.7252
2021-03-11,"jd",9146163.2026
2021-03-10,"jd",21400781.4769
2021-03-09,"jd",26914175.0961
2021-03-08,"jd",19018493.1834
2021-03-05,"jd",31245267.9537
2021-03-04,"jd",24345993.3635
2021-03-03,"jd",30466980.4001
2021-03-02,"jd",38410837.0148
2021-03-01,"jd",45921224.5511
2021-02-26,"jd",40230544.2144
2021-02-25,"jd",31723739.1351
2021-02-24,"jd",38367171.8934
2021-02-23,"jd",30714440.7132
2021-02-22,"jd",19063715.0156
