"time","symbol","CCI"
2021-08-13,"jd",-108.9351
2021-08-12,"jd",-106.2156
2021-08-11,"jd",-96.292
2021-08-10,"jd",-90.5736
2021-08-09,"jd",-101.8984
2021-08-06,"jd",-113.5394
2021-08-05,"jd",-109.9767
2021-08-04,"jd",-101.1285
2021-08-03,"jd",-116.5976
2021-08-02,"jd",-103.2274
2021-07-30,"jd",-110.9886
2021-07-29,"jd",-110.0243
2021-07-28,"jd",-125.3565
2021-07-27,"jd",-183.2967
2021-07-26,"jd",-154.7433
2021-07-23,"jd",-107.7045
2021-07-22,"jd",-68.5297
2021-07-21,"jd",-81.6886
2021-07-20,"jd",-92.2194
2021-07-19,"jd",-91.6109
2021-07-16,"jd",-68.5059
2021-07-15,"jd",-58.8073
2021-07-14,"jd",-73.8486
2021-07-13,"jd",-68.2385
2021-07-12,"jd",-97.4889
2021-07-09,"jd",-99.3163
2021-07-08,"jd",-122.8874
2021-07-07,"jd",-102.351
2021-07-06,"jd",-99.8331
2021-07-02,"jd",-65.6724
2021-07-01,"jd",-46.9355
2021-06-30,"jd",-34.2864
2021-06-29,"jd",-40.1298
2021-06-28,"jd",-54.4951
2021-06-25,"jd",-53.9532
2021-06-24,"jd",-85.0171
2021-06-23,"jd",-94.5143
2021-06-22,"jd",-96.2628
2021-06-21,"jd",-109.091
2021-06-18,"jd",-109.182
2021-06-17,"jd",-102.9591
2021-06-16,"jd",-116.9243
2021-06-15,"jd",-124.9367
2021-06-14,"jd",-124.1905
2021-06-11,"jd",-124.1433
2021-06-10,"jd",-116.1235
2021-06-09,"jd",-107.249
2021-06-08,"jd",-101.1403
2021-06-07,"jd",-91.556
2021-06-04,"jd",-80.1453
2021-06-03,"jd",-82.2139
2021-06-02,"jd",-64.6065
2021-06-01,"jd",-55.2762
2021-05-28,"jd",-97.2622
2021-05-27,"jd",-102.5811
2021-05-26,"jd",-97.8638
2021-05-25,"jd",-99.1855
2021-05-24,"jd",-106.7828
2021-05-21,"jd",-91.5636
2021-05-20,"jd",-89.1863
2021-05-19,"jd",-129.2821
2021-05-18,"jd",-124.0147
2021-05-17,"jd",-139.8472
2021-05-14,"jd",-141.7721
2021-05-13,"jd",-135.5798
2021-05-12,"jd",-103.3224
2021-05-11,"jd",-102.4901
2021-05-10,"jd",-94.4675
2021-05-07,"jd",-58.727
2021-05-06,"jd",-56.864
2021-05-05,"jd",-58.7691
2021-05-04,"jd",-52.2891
2021-05-03,"jd",-40.9901
2021-04-30,"jd",-41.714
2021-04-29,"jd",-30.6908
2021-04-28,"jd",-26.7001
2021-04-27,"jd",-32.8641
2021-04-26,"jd",-49.8402
2021-04-23,"jd",-38.6849
2021-04-22,"jd",-46.4448
2021-04-21,"jd",-56.6061
2021-04-20,"jd",-52.0484
