"time","symbol","OBV"
2021-08-13,"jd",1206333095
2021-08-12,"jd",1211954671
2021-08-11,"jd",1217738491
2021-08-10,"jd",1223412729
2021-08-09,"jd",1218217405
2021-08-06,"jd",1211875403
2021-08-05,"jd",1218852990
2021-08-04,"jd",1226338537
2021-08-03,"jd",1218263614
2021-08-02,"jd",1226773131
2021-07-30,"jd",1218350603
2021-07-29,"jd",1228298560
2021-07-28,"jd",1211393852
2021-07-27,"jd",1177765135
2021-07-26,"jd",1221994299
2021-07-23,"jd",1261961854
2021-07-22,"jd",1282251869
2021-07-21,"jd",1277719971
2021-07-20,"jd",1271543951
2021-07-19,"jd",1278156333
2021-07-16,"jd",1287633254
2021-07-15,"jd",1294160929
2021-07-14,"jd",1284991062
2021-07-13,"jd",1294611635
2021-07-12,"jd",1279198807
2021-07-09,"jd",1284862924
2021-07-08,"jd",1273657509
2021-07-07,"jd",1285576287
2021-07-06,"jd",1275116778
2021-07-02,"jd",1290708048
2021-07-01,"jd",1298724449
2021-06-30,"jd",1309841101
2021-06-29,"jd",1298577136
2021-06-28,"jd",1286700701
2021-06-25,"jd",1295079677
2021-06-24,"jd",1278475206
2021-06-23,"jd",1268675136
2021-06-22,"jd",1276651740
2021-06-21,"jd",1266401353
2021-06-18,"jd",1257991239
2021-06-17,"jd",1285657765
2021-06-16,"jd",1272763767
2021-06-15,"jd",1260473345
2021-06-14,"jd",1268928905
2021-06-11,"jd",1260896817
2021-06-10,"jd",1272283893
2021-06-09,"jd",1281760503
2021-06-08,"jd",1289181985
2021-06-07,"jd",1298084732
2021-06-04,"jd",1306504210
2021-06-03,"jd",1314768853
2021-06-02,"jd",1326796534
2021-06-01,"jd",1336216450
2021-05-28,"jd",1314924324
2021-05-27,"jd",1307047888
2021-05-26,"jd",1316974114
2021-05-25,"jd",1310375412
2021-05-24,"jd",1300976458
2021-05-21,"jd",1309555970
2021-05-20,"jd",1320213694
2021-05-19,"jd",1301829157
2021-05-18,"jd",1286211354
2021-05-17,"jd",1273617322
2021-05-14,"jd",1261659290
2021-05-13,"jd",1242292586
2021-05-12,"jd",1276892593
2021-05-11,"jd",1285596646
2021-05-10,"jd",1275089425
2021-05-07,"jd",1291691434
2021-05-06,"jd",1299499946
2021-05-05,"jd",1291357033
2021-05-04,"jd",1296937201
2021-05-03,"jd",1305759168
2021-04-30,"jd",1312014676
2021-04-29,"jd",1318401604
2021-04-28,"jd",1325728944
2021-04-27,"jd",1318693398
2021-04-26,"jd",1306859344
2021-04-23,"jd",1319097968
2021-04-22,"jd",1309510582
2021-04-21,"jd",1300001615
2021-04-20,"jd",1289168084
2021-04-19,"jd",1304718835
2021-04-16,"jd",1314227881
2021-04-15,"jd",1328119486
2021-04-14,"jd",1336733852
2021-04-13,"jd",1345337590
2021-04-12,"jd",1332826051
2021-04-09,"jd",1347128593
2021-04-08,"jd",1355442020
2021-04-07,"jd",1348790200
2021-04-06,"jd",1358235356
2021-04-05,"jd",1349325875
2021-04-01,"jd",1358594161
2021-03-31,"jd",1370503256
2021-03-30,"jd",1360362657
2021-03-29,"jd",1353260446
2021-03-26,"jd",1362249443
2021-03-25,"jd",1342459830
2021-03-24,"jd",1357059067
2021-03-23,"jd",1374465157
2021-03-22,"jd",1383327632
2021-03-19,"jd",1390726396
2021-03-18,"jd",1377361909
2021-03-17,"jd",1387644355
2021-03-16,"jd",1399585958
2021-03-15,"jd",1389440763
2021-03-12,"jd",1376677336
2021-03-11,"jd",1401441328
2021-03-10,"jd",1376721531
2021-03-09,"jd",1385977850
2021-03-08,"jd",1374396312
2021-03-05,"jd",1387900511
2021-03-04,"jd",1404734741
2021-03-03,"jd",1422525719
2021-03-02,"jd",1433665380
2021-03-01,"jd",1441817104
2021-02-26,"jd",1431907471
2021-02-25,"jd",1417422911
2021-02-24,"jd",1428561157
2021-02-23,"jd",1440476155
2021-02-22,"jd",1426602680
2021-02-19,"jd",1439609149
2021-02-18,"jd",1433157955
2021-02-17,"jd",1441804007
2021-02-16,"jd",1430779523
2021-02-12,"jd",1419970479
2021-02-11,"jd",1416736543
2021-02-10,"jd",1412274990
2021-02-09,"jd",1403951104
2021-02-08,"jd",1398191570
2021-02-05,"jd",1403877570
2021-02-04,"jd",1398055725
2021-02-03,"jd",1403391913
2021-02-02,"jd",1396063742
2021-02-01,"jd",1384624504
2021-01-29,"jd",1377171825
2021-01-28,"jd",1388027098
2021-01-27,"jd",1376772718
2021-01-26,"jd",1392830870
2021-01-25,"jd",1401077528
2021-01-22,"jd",1384667848
2021-01-21,"jd",1391616246
2021-01-20,"jd",1398958607
2021-01-19,"jd",1383457012
2021-01-15,"jd",1372651791
2021-01-14,"jd",1381514339
2021-01-13,"jd",1389567462
2021-01-12,"jd",1382285084
2021-01-11,"jd",1392248669
2021-01-08,"jd",1399204742
2021-01-07,"jd",1386197364
2021-01-06,"jd",1403267568
2021-01-05,"jd",1425018997
2021-01-04,"jd",1394007233
2020-12-31,"jd",1403211414
2020-12-30,"jd",1410941184
2020-12-29,"jd",1398884105
2020-12-28,"jd",1389194392
2020-12-24,"jd",1398563749
2020-12-23,"jd",1410728152
2020-12-22,"jd",1397486658
2020-12-21,"jd",1389702896
2020-12-18,"jd",1397949086
2020-12-17,"jd",1407762534
2020-12-16,"jd",1398730828
2020-12-15,"jd",1389768445
2020-12-14,"jd",1398222828
2020-12-11,"jd",1411189074
2020-12-10,"jd",1397246222
2020-12-09,"jd",1407198524
2020-12-08,"jd",1418316309
2020-12-07,"jd",1434633043
2020-12-04,"jd",1447310508
2020-12-03,"jd",1456721554
2020-12-02,"jd",1448792191
2020-12-01,"jd",1461226574
2020-11-30,"jd",1450471986
2020-11-27,"jd",1468486420
2020-11-25,"jd",1462698822
2020-11-24,"jd",1474123126
2020-11-23,"jd",1464626844
2020-11-20,"jd",1474551921
2020-11-19,"jd",1463966038
2020-11-18,"jd",1474761304
2020-11-17,"jd",1487325155
2020-11-16,"jd",1470256837
2020-11-13,"jd",1502186219
2020-11-12,"jd",1479340675
2020-11-11,"jd",1457641824
2020-11-10,"jd",1439830139
2020-11-09,"jd",1466910189
2020-11-06,"jd",1487761715
2020-11-05,"jd",1478129934
2020-11-04,"jd",1461441404
2020-11-03,"jd",1437291976
2020-11-02,"jd",1422965182
2020-10-30,"jd",1413988380
2020-10-29,"jd",1423172401
2020-10-28,"jd",1410015808
2020-10-27,"jd",1418192065
2020-10-26,"jd",1410276088
2020-10-23,"jd",1405393855
2020-10-22,"jd",1398555020
2020-10-21,"jd",1407306154
2020-10-20,"jd",1399625926
2020-10-19,"jd",1389919466
2020-10-16,"jd",1397970506
2020-10-15,"jd",1388191218
2020-10-14,"jd",1398741172
2020-10-13,"jd",1411148885
2020-10-12,"jd",1423551191
2020-10-09,"jd",1405505030
2020-10-08,"jd",1394185216
2020-10-07,"jd",1383197556
2020-10-06,"jd",1371011206
2020-10-05,"jd",1360995837
2020-10-02,"jd",1354873518
2020-10-01,"jd",1363699306
2020-09-30,"jd",1356276583
2020-09-29,"jd",1344898668
2020-09-28,"jd",1350828396
2020-09-25,"jd",1342582829
2020-09-24,"jd",1330065225
2020-09-23,"jd",1342231902
2020-09-22,"jd",1352194123
2020-09-21,"jd",1359420724
2020-09-18,"jd",1350239876
2020-09-17,"jd",1340664862
2020-09-16,"jd",1349764249
2020-09-15,"jd",1357838238
2020-09-14,"jd",1349732775
2020-09-11,"jd",1342317861
2020-09-10,"jd",1352890136
2020-09-09,"jd",1364700562
2020-09-08,"jd",1355747799
2020-09-04,"jd",1369828339
2020-09-03,"jd",1348327458
2020-09-02,"jd",1367581424
2020-09-01,"jd",1353720505
2020-08-31,"jd",1342272776
2020-08-28,"jd",1355190077
2020-08-27,"jd",1347194950
2020-08-26,"jd",1359869058
2020-08-25,"jd",1340773350
2020-08-24,"jd",1321667098
2020-08-21,"jd",1309150001
2020-08-20,"jd",1296575339
2020-08-19,"jd",1274574283
2020-08-18,"jd",1252458284
2020-08-17,"jd",1229202605
2020-08-14,"jd",1196393656
2020-08-13,"jd",1206663808
2020-08-12,"jd",1214117100
2020-08-11,"jd",1207182220
2020-08-10,"jd",1217395375
2020-08-07,"jd",1230131411
2020-08-06,"jd",1244230521
2020-08-05,"jd",1254995823
2020-08-04,"jd",1245844100
2020-08-03,"jd",1238295888
2020-07-31,"jd",1228256972
2020-07-30,"jd",1216997818
2020-07-29,"jd",1222650977
2020-07-28,"jd",1216995005
2020-07-27,"jd",1222818141
2020-07-24,"jd",1213684756
2020-07-23,"jd",1202013933
2020-07-22,"jd",1213903877
2020-07-21,"jd",1223519973
2020-07-20,"jd",1237952314
2020-07-17,"jd",1227496771
2020-07-16,"jd",1222092344
2020-07-15,"jd",1233185800
2020-07-14,"jd",1224997278
2020-07-13,"jd",1239767221
2020-07-10,"jd",1254526126
2020-07-09,"jd",1264844075
2020-07-08,"jd",1247081747
2020-07-07,"jd",1225474866
