"time","symbol","RSI"
2021-08-13,"jd",50.1391
2021-08-12,"jd",50.2545
2021-08-11,"jd",50.3474
2021-08-10,"jd",50.466
2021-08-09,"jd",50.461
2021-08-06,"jd",50.0999
2021-08-05,"jd",50.2959
2021-08-04,"jd",50.4085
2021-08-03,"jd",50.2136
2021-08-02,"jd",50.4261
2021-07-30,"jd",50.324
2021-07-29,"jd",50.5021
2021-07-28,"jd",50.2267
2021-07-27,"jd",49.2889
2021-07-26,"jd",49.5096
2021-07-23,"jd",50.5776
2021-07-22,"jd",51.2184
2021-07-21,"jd",51.1146
2021-07-20,"jd",50.8706
2021-07-19,"jd",50.9325
2021-07-16,"jd",51.1751
2021-07-15,"jd",51.4008
2021-07-14,"jd",51.1628
2021-07-13,"jd",51.3527
2021-07-12,"jd",50.7837
2021-07-09,"jd",50.8526
2021-07-08,"jd",50.3941
2021-07-07,"jd",50.7132
2021-07-06,"jd",50.6599
2021-07-02,"jd",51.3436
2021-07-01,"jd",51.5617
2021-06-30,"jd",51.9922
2021-06-29,"jd",51.9821
2021-06-28,"jd",51.5375
2021-06-25,"jd",51.7387
2021-06-24,"jd",51.1696
2021-06-23,"jd",50.865
2021-06-22,"jd",50.8937
2021-06-21,"jd",50.7762
2021-06-18,"jd",50.6032
2021-06-17,"jd",50.9381
2021-06-16,"jd",50.5902
2021-06-15,"jd",50.4772
2021-06-14,"jd",50.5817
2021-06-11,"jd",50.5403
2021-06-10,"jd",50.6565
2021-06-09,"jd",50.7955
2021-06-08,"jd",50.9082
2021-06-07,"jd",51.1552
2021-06-04,"jd",51.2878
2021-06-03,"jd",51.3037
2021-06-02,"jd",51.4835
2021-06-01,"jd",51.8004
2021-05-28,"jd",51.0653
2021-05-27,"jd",50.8768
2021-05-26,"jd",50.9419
2021-05-25,"jd",50.876
2021-05-24,"jd",50.6816
2021-05-21,"jd",50.8714
2021-05-20,"jd",51.0372
2021-05-19,"jd",50.5101
2021-05-18,"jd",50.367
2021-05-17,"jd",50.1055
2021-05-14,"jd",50.0953
2021-05-13,"jd",49.9039
2021-05-12,"jd",50.6317
2021-05-11,"jd",50.8994
2021-05-10,"jd",50.6653
2021-05-07,"jd",51.3915
2021-05-06,"jd",51.5489
2021-05-05,"jd",51.4059
2021-05-04,"jd",51.502
2021-05-03,"jd",51.6693
2021-04-30,"jd",51.7298
2021-04-29,"jd",51.8133
2021-04-28,"jd",52.0318
2021-04-27,"jd",51.9334
2021-04-26,"jd",51.551
2021-04-23,"jd",51.6586
2021-04-22,"jd",51.5531
2021-04-21,"jd",51.4889
2021-04-20,"jd",51.2963
2021-04-19,"jd",51.7153
2021-04-16,"jd",51.7311
2021-04-15,"jd",51.8097
2021-04-14,"jd",51.9196
2021-04-13,"jd",52.0381
2021-04-12,"jd",52.014
2021-04-09,"jd",52.3202
2021-04-08,"jd",52.6232
2021-04-07,"jd",52.4823
2021-04-06,"jd",52.8795
2021-04-05,"jd",52.7188
2021-04-01,"jd",53.0399
2021-03-31,"jd",53.0435
2021-03-30,"jd",52.8356
2021-03-29,"jd",52.6411
2021-03-26,"jd",52.6952
2021-03-25,"jd",52.1655
2021-03-24,"jd",52.2278
2021-03-23,"jd",53.0052
2021-03-22,"jd",53.2646
2021-03-19,"jd",53.2682
2021-03-18,"jd",53.0985
2021-03-17,"jd",53.3585
2021-03-16,"jd",53.4275
2021-03-15,"jd",53.3304
2021-03-12,"jd",53.1593
2021-03-11,"jd",54.227
2021-03-10,"jd",54.123
2021-03-09,"jd",54.159
2021-03-08,"jd",53.5168
2021-03-05,"jd",54.4746
2021-03-04,"jd",54.5023
2021-03-03,"jd",55.0308
2021-03-02,"jd",55.5499
2021-03-01,"jd",55.8615
2021-02-26,"jd",55.2293
2021-02-25,"jd",55.1507
2021-02-24,"jd",55.7249
2021-02-23,"jd",56.3258
2021-02-22,"jd",56.0504
2021-02-19,"jd",57.7371
2021-02-18,"jd",57.6378
2021-02-17,"jd",57.9354
2021-02-16,"jd",57.4149
2021-02-12,"jd",56.7794
2021-02-11,"jd",56.7311
2021-02-10,"jd",56.6953
2021-02-09,"jd",56.4305
2021-02-08,"jd",56.0372
2021-02-05,"jd",56.4571
2021-02-04,"jd",56.1396
2021-02-03,"jd",56.3164
2021-02-02,"jd",56.3038
2021-02-01,"jd",55.6437
2021-01-29,"jd",55.2252
2021-01-28,"jd",55.7772
2021-01-27,"jd",55.5627
2021-01-26,"jd",56.9962
2021-01-25,"jd",57.2976
2021-01-22,"jd",56.7373
2021-01-21,"jd",56.7779
2021-01-20,"jd",56.8226
2021-01-19,"jd",56.1421
2021-01-15,"jd",55.576
2021-01-14,"jd",55.8881
2021-01-13,"jd",56.1443
2021-01-12,"jd",55.8253
2021-01-11,"jd",56.2193
2021-01-08,"jd",56.4693
2021-01-07,"jd",55.8598
2021-01-06,"jd",55.9158
2021-01-05,"jd",57.5298
2021-01-04,"jd",55.9447
2020-12-31,"jd",56.3027
2020-12-30,"jd",56.675
2020-12-29,"jd",56.072
2020-12-28,"jd",55.2411
2020-12-24,"jd",55.9101
2020-12-23,"jd",56.1379
2020-12-22,"jd",55.6429
2020-12-21,"jd",55.2381
2020-12-18,"jd",55.4465
2020-12-17,"jd",55.7238
2020-12-16,"jd",55.5476
2020-12-15,"jd",55.1184
2020-12-14,"jd",55.2259
2020-12-11,"jd",55.8504
2020-12-10,"jd",55.681
2020-12-09,"jd",55.707
2020-12-08,"jd",55.7517
2020-12-07,"jd",56.1008
2020-12-04,"jd",56.5051
2020-12-03,"jd",56.7685
