"date","symbol","adjusted"
2018-01-02,"SPY",252.457245
2018-01-03,"SPY",254.054001
2018-01-04,"SPY",255.124817
2018-01-05,"SPY",256.825012
2018-01-08,"SPY",257.294708
2018-01-09,"SPY",257.877045
2018-01-10,"SPY",257.482483
2018-01-11,"SPY",259.361176
2018-01-12,"SPY",261.05188
2018-01-16,"SPY",260.159576
2018-01-17,"SPY",262.639313
2018-01-18,"SPY",262.197906
2018-01-19,"SPY",263.390808
2018-01-22,"SPY",265.532349
2018-01-23,"SPY",266.096008
2018-01-24,"SPY",265.992584
2018-01-25,"SPY",266.105316
2018-01-26,"SPY",269.186279
2018-01-29,"SPY",267.401581
2018-01-30,"SPY",264.658783
2018-01-31,"SPY",264.790314
2018-02-01,"SPY",264.489716
2018-02-02,"SPY",258.731842
2018-02-05,"SPY",247.910965
2018-02-06,"SPY",252.795441
2018-02-07,"SPY",251.424026
2018-02-08,"SPY",241.993393
2018-02-09,"SPY",245.628479
2018-02-12,"SPY",249.235413
2018-02-13,"SPY",249.855392
2018-02-14,"SPY",253.227448
2018-02-15,"SPY",256.458679
2018-02-16,"SPY",256.533844
2018-02-20,"SPY",254.927551
2018-02-21,"SPY",253.659561
2018-02-22,"SPY",253.988327
2018-02-23,"SPY",258.036682
2018-02-26,"SPY",261.033081
2018-02-27,"SPY",257.773682
2018-02-28,"SPY",255.162445
2018-03-01,"SPY",251.452209
2018-03-02,"SPY",252.748444
2018-03-05,"SPY",255.669662
2018-03-06,"SPY",256.31781
2018-03-07,"SPY",256.223877
2018-03-08,"SPY",257.463745
2018-03-09,"SPY",261.944275
2018-03-12,"SPY",261.615479
2018-03-13,"SPY",259.924744
2018-03-14,"SPY",258.590881
2018-03-15,"SPY",258.309082
2018-03-16,"SPY",258.589233
2018-03-19,"SPY",255.090393
2018-03-20,"SPY",255.524261
2018-03-21,"SPY",255.033844
2018-03-22,"SPY",248.658722
2018-03-23,"SPY",243.358658
2018-03-26,"SPY",250.016708
2018-03-27,"SPY",245.763489
2018-03-28,"SPY",245.037262
2018-03-29,"SPY",248.16832
2018-04-02,"SPY",242.811691
2018-04-03,"SPY",245.923782
2018-04-04,"SPY",248.554977
2018-04-05,"SPY",250.516586
2018-04-06,"SPY",244.933563
2018-04-09,"SPY",246.140732
2018-04-10,"SPY",250.054398
2018-04-11,"SPY",248.743607
2018-04-12,"SPY",250.790009
2018-04-13,"SPY",250.054398
2018-04-16,"SPY",252.110321
2018-04-17,"SPY",254.80748
2018-04-18,"SPY",254.996124
2018-04-19,"SPY",253.581543
2018-04-20,"SPY",251.431366
2018-04-23,"SPY",251.393585
2018-04-24,"SPY",248.007996
2018-04-25,"SPY",248.621002
2018-04-26,"SPY",251.148376
2018-04-27,"SPY",251.384186
2018-04-30,"SPY",249.450882
2018-05-01,"SPY",249.894135
2018-05-02,"SPY",248.215469
2018-05-03,"SPY",247.668488
2018-05-04,"SPY",250.874893
2018-05-07,"SPY",251.723694
2018-05-08,"SPY",251.723694
2018-05-09,"SPY",254.156769
2018-05-10,"SPY",256.533325
2018-05-11,"SPY",257.31604
2018-05-14,"SPY",257.43866
2018-05-15,"SPY",255.665649
2018-05-16,"SPY",256.740814
2018-05-17,"SPY",256.523865
2018-05-18,"SPY",255.882599
2018-05-21,"SPY",257.806427
2018-05-22,"SPY",257.089722
2018-05-23,"SPY",257.797028
2018-05-24,"SPY",257.268951
2018-05-25,"SPY",256.655945
2018-05-29,"SPY",253.704086
2018-05-30,"SPY",257.089722
2018-05-31,"SPY",255.514847
2018-06-01,"SPY",258.023407
2018-06-04,"SPY",259.24939
2018-06-05,"SPY",259.437958
2018-06-06,"SPY",261.607086
2018-06-07,"SPY",261.578705
2018-06-08,"SPY",262.352051
2018-06-11,"SPY",262.701019
2018-06-12,"SPY",263.040497
2018-06-13,"SPY",262.201111
2018-06-14,"SPY",262.861298
2018-06-15,"SPY",262.52594
2018-06-18,"SPY",261.986053
2018-06-19,"SPY",260.981842
2018-06-20,"SPY",261.427124
2018-06-21,"SPY",259.788269
2018-06-22,"SPY",260.261932
2018-06-25,"SPY",256.718964
2018-06-26,"SPY",257.287384
2018-06-27,"SPY",255.155945
2018-06-28,"SPY",256.614807
2018-06-29,"SPY",256.984253
