"date","symbol","adjusted"
2018-01-02,"BABA",183.649994
2018-01-03,"BABA",184
2018-01-04,"BABA",185.710007
2018-01-05,"BABA",190.699997
2018-01-08,"BABA",190.330002
2018-01-09,"BABA",190.800003
2018-01-10,"BABA",189.789993
2018-01-11,"BABA",188.75
2018-01-12,"BABA",187.789993
2018-01-16,"BABA",182.399994
2018-01-17,"BABA",183.830002
2018-01-18,"BABA",184.399994
2018-01-19,"BABA",184.050003
2018-01-22,"BABA",184.020004
2018-01-23,"BABA",192.279999
2018-01-24,"BABA",195.529999
2018-01-25,"BABA",198.330002
2018-01-26,"BABA",205.220001
2018-01-29,"BABA",203.009995
2018-01-30,"BABA",199.660004
2018-01-31,"BABA",204.289993
2018-02-01,"BABA",192.220001
2018-02-02,"BABA",187.309998
2018-02-05,"BABA",180.529999
2018-02-06,"BABA",185.169998
2018-02-07,"BABA",180.300003
2018-02-08,"BABA",173.699997
2018-02-09,"BABA",176.669998
2018-02-12,"BABA",177.440002
2018-02-13,"BABA",179.25
2018-02-14,"BABA",186.759995
2018-02-15,"BABA",187.449997
2018-02-16,"BABA",183.679993
2018-02-20,"BABA",187.190002
2018-02-21,"BABA",188.820007
2018-02-22,"BABA",188.75
2018-02-23,"BABA",193.289993
2018-02-26,"BABA",194.190002
2018-02-27,"BABA",188.259995
2018-02-28,"BABA",186.139999
2018-03-01,"BABA",181.990005
2018-03-02,"BABA",179.759995
2018-03-05,"BABA",181.600006
2018-03-06,"BABA",187.369995
2018-03-07,"BABA",189.050003
2018-03-08,"BABA",187.179993
2018-03-09,"BABA",190.550003
2018-03-12,"BABA",192.740005
2018-03-13,"BABA",188.410004
2018-03-14,"BABA",192.559998
2018-03-15,"BABA",199.059998
2018-03-16,"BABA",200.279999
2018-03-19,"BABA",194.529999
2018-03-20,"BABA",198.949997
2018-03-21,"BABA",195.300003
2018-03-22,"BABA",184.649994
2018-03-23,"BABA",181.199997
2018-03-26,"BABA",190.5
2018-03-27,"BABA",181.889999
2018-03-28,"BABA",178.910004
2018-03-29,"BABA",183.539993
2018-04-02,"BABA",177.610001
2018-04-03,"BABA",174.669998
2018-04-04,"BABA",172.070007
2018-04-05,"BABA",172.570007
2018-04-06,"BABA",167.520004
2018-04-09,"BABA",169.869995
2018-04-10,"BABA",177.100006
2018-04-11,"BABA",175.360001
2018-04-12,"BABA",175.919998
2018-04-13,"BABA",172.039993
2018-04-16,"BABA",174.699997
2018-04-17,"BABA",178.699997
2018-04-18,"BABA",182.679993
2018-04-19,"BABA",181.389999
2018-04-20,"BABA",179.110001
2018-04-23,"BABA",175.570007
2018-04-24,"BABA",173.089996
2018-04-25,"BABA",170.220001
2018-04-26,"BABA",173.899994
2018-04-27,"BABA",177.160004
2018-04-30,"BABA",178.539993
2018-05-01,"BABA",179.5
2018-05-02,"BABA",181.449997
2018-05-03,"BABA",182.449997
2018-05-04,"BABA",188.889999
2018-05-07,"BABA",195.350006
2018-05-08,"BABA",196.309998
2018-05-09,"BABA",195.429993
2018-05-10,"BABA",195.960007
2018-05-11,"BABA",194.360001
2018-05-14,"BABA",198.639999
2018-05-15,"BABA",196.610001
2018-05-16,"BABA",198.110001
2018-05-17,"BABA",196.020004
2018-05-18,"BABA",195
2018-05-21,"BABA",197.639999
2018-05-22,"BABA",195.869995
2018-05-23,"BABA",196.800003
2018-05-24,"BABA",197.369995
2018-05-25,"BABA",199.199997
2018-05-29,"BABA",198
2018-05-30,"BABA",197.979996
2018-05-31,"BABA",198.009995
2018-06-01,"BABA",204.339996
2018-06-04,"BABA",208.949997
2018-06-05,"BABA",208.369995
2018-06-06,"BABA",208.300003
2018-06-07,"BABA",203.619995
2018-06-08,"BABA",205.070007
2018-06-11,"BABA",205.699997
2018-06-12,"BABA",209.080002
2018-06-13,"BABA",206.619995
2018-06-14,"BABA",210.860001
2018-06-15,"BABA",208
2018-06-18,"BABA",208.570007
2018-06-19,"BABA",204.429993
2018-06-20,"BABA",206.229996
2018-06-21,"BABA",202.210007
2018-06-22,"BABA",202.009995
2018-06-25,"BABA",191.25
2018-06-26,"BABA",191.419998
2018-06-27,"BABA",185.020004
2018-06-28,"BABA",188.380005
2018-06-29,"BABA",185.529999
2018-07-02,"BABA",186.360001
2018-07-03,"BABA",184.75
2018-07-05,"BABA",186.880005
2018-07-06,"BABA",192.270004
2018-07-09,"BABA",192.75
2018-07-10,"BABA",192.550003
2018-07-11,"BABA",187.419998
2018-07-12,"BABA",190.169998
2018-07-13,"BABA",190.039993
2018-07-16,"BABA",190.350006
2018-07-17,"BABA",192.660004
2018-07-18,"BABA",190.789993
2018-07-19,"BABA",187.339996
2018-07-20,"BABA",187.25
2018-07-23,"BABA",187.039993
2018-07-24,"BABA",189
2018-07-25,"BABA",197.979996
2018-07-26,"BABA",194.179993
2018-07-27,"BABA",189.419998
2018-07-30,"BABA",184.820007
2018-07-31,"BABA",187.229996
2018-08-01,"BABA",185.270004
2018-08-02,"BABA",182.600006
2018-08-03,"BABA",180.839996
2018-08-06,"BABA",178.619995
2018-08-07,"BABA",179.919998
2018-08-08,"BABA",177.520004
2018-08-09,"BABA",177.190002
2018-08-10,"BABA",180.009995
2018-08-13,"BABA",177.679993
2018-08-14,"BABA",172.529999
2018-08-15,"BABA",169.830002
2018-08-16,"BABA",171.990005
2018-08-17,"BABA",172.779999
2018-08-20,"BABA",176.289993
2018-08-21,"BABA",177.919998
2018-08-22,"BABA",177.850006
2018-08-23,"BABA",172.229996
2018-08-24,"BABA",174.229996
2018-08-27,"BABA",180.649994
2018-08-28,"BABA",178.190002
2018-08-29,"BABA",178.5
2018-08-30,"BABA",174.600006
2018-08-31,"BABA",175.009995
2018-09-04,"BABA",170.440002
2018-09-05,"BABA",164.229996
2018-09-06,"BABA",159.869995
2018-09-07,"BABA",162.369995
2018-09-10,"BABA",156.360001
2018-09-11,"BABA",157.460007
2018-09-12,"BABA",161.460007
2018-09-13,"BABA",165.529999
2018-09-14,"BABA",164.740005
2018-09-17,"BABA",158.889999
2018-09-18,"BABA",156.649994
2018-09-19,"BABA",162.630005
2018-09-20,"BABA",165.880005
2018-09-21,"BABA",164.630005
2018-09-24,"BABA",163.160004
2018-09-25,"BABA",164.25
2018-09-26,"BABA",165.399994
2018-09-27,"BABA",166.320007
2018-09-28,"BABA",164.759995
2018-10-01,"BABA",162
2018-10-02,"BABA",160.229996
2018-10-03,"BABA",162.369995
2018-10-04,"BABA",156.130005
2018-10-05,"BABA",154.630005
2018-10-08,"BABA",151.139999
2018-10-09,"BABA",146.940002
2018-10-10,"BABA",138.289993
2018-10-11,"BABA",141.899994
2018-10-12,"BABA",147.289993
2018-10-15,"BABA",144.160004
2018-10-16,"BABA",149.600006
2018-10-17,"BABA",148.139999
2018-10-18,"BABA",142.020004
2018-10-19,"BABA",142.929993
2018-10-22,"BABA",148.800003
2018-10-23,"BABA",146.649994
2018-10-24,"BABA",139.610001
2018-10-25,"BABA",144.600006
2018-10-26,"BABA",142.869995
2018-10-29,"BABA",133.380005
2018-10-30,"BABA",136.330002
2018-10-31,"BABA",142.279999
2018-11-01,"BABA",151.25
2018-11-02,"BABA",147.589996
2018-11-05,"BABA",144.639999
2018-11-06,"BABA",147.440002
2018-11-07,"BABA",152.5
2018-11-08,"BABA",148.990005
2018-11-09,"BABA",144.850006
2018-11-12,"BABA",142.820007
2018-11-13,"BABA",146.979996
2018-11-14,"BABA",150.440002
2018-11-15,"BABA",156.220001
2018-11-16,"BABA",154.100006
2018-11-19,"BABA",149.529999
2018-11-20,"BABA",145.979996
2018-11-21,"BABA",149.410004
2018-11-23,"BABA",150.330002
2018-11-26,"BABA",156.009995
2018-11-27,"BABA",156.460007
2018-11-28,"BABA",159.339996
2018-11-29,"BABA",156.279999
2018-11-30,"BABA",160.860001
2018-12-03,"BABA",163.740005
2018-12-04,"BABA",158.339996
2018-12-06,"BABA",155.830002
2018-12-07,"BABA",153.059998
2018-12-10,"BABA",151.429993
2018-12-11,"BABA",151.830002
2018-12-12,"BABA",151.5
2018-12-13,"BABA",151.479996
2018-12-14,"BABA",149
2018-12-17,"BABA",143.979996
2018-12-18,"BABA",140.820007
2018-12-19,"BABA",137.139999
2018-12-20,"BABA",135.110001
2018-12-21,"BABA",132
2018-12-24,"BABA",131.889999
2018-12-26,"BABA",138
2018-12-27,"BABA",138.449997
2018-12-28,"BABA",139.089996
2018-12-31,"BABA",137.070007
2019-01-02,"BABA",136.699997
2019-01-03,"BABA",130.600006
2019-01-04,"BABA",139.75
2019-01-07,"BABA",143.100006
2019-01-08,"BABA",146.789993
2019-01-09,"BABA",151.919998
2019-01-10,"BABA",151.690002
2019-01-11,"BABA",151.320007
2019-01-14,"BABA",149.270004
2019-01-15,"BABA",150.880005
2019-01-16,"BABA",154.839996
2019-01-17,"BABA",155.970001
2019-01-18,"BABA",157.020004
2019-01-22,"BABA",152.149994
2019-01-23,"BABA",152.029999
2019-01-24,"BABA",155.860001
2019-01-25,"BABA",159.210007
2019-01-28,"BABA",158.919998
2019-01-29,"BABA",156.880005
2019-01-30,"BABA",166.820007
2019-01-31,"BABA",168.490005
2019-02-01,"BABA",167.970001
2019-02-04,"BABA",166.699997
2019-02-05,"BABA",171.830002
2019-02-06,"BABA",171.520004
2019-02-07,"BABA",166.960007
2019-02-08,"BABA",167.360001
2019-02-11,"BABA",167.449997
2019-02-12,"BABA",168.710007
2019-02-13,"BABA",169.399994
2019-02-14,"BABA",168.380005
2019-02-15,"BABA",166.149994
2019-02-19,"BABA",170.179993
2019-02-20,"BABA",170.710007
2019-02-21,"BABA",171.660004
2019-02-22,"BABA",176.919998
2019-02-25,"BABA",183.25
2019-02-26,"BABA",183.539993
2019-02-27,"BABA",184.580002
2019-02-28,"BABA",183.029999
2019-03-01,"BABA",183.880005
2019-03-04,"BABA",187.25
2019-03-05,"BABA",185
2019-03-06,"BABA",184.169998
2019-03-07,"BABA",177.320007
2019-03-08,"BABA",175.029999
2019-03-11,"BABA",180.410004
2019-03-12,"BABA",180.630005
